"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23300","OHRM_LOGIN_TC_019 - Kiểm tra bảo mật SQL Injection trên trường Username ở trang Reset Password","webkit","Wed May 27 09:31:14 UTC 2026","passed","Wed May 27 09:31:37 UTC 2026","OrangeHRM - Forgot Password Module Tests","auth/forgot-password.spec.ts","",""
"","3072","OHRM_LOGIN_TC_012 - Đăng nhập với Username có độ dài cực lớn (256 ký tự)","chromium","Wed May 27 09:27:35 UTC 2026","passed","Wed May 27 09:27:38 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","8047","OHRM_LOGIN_TC_022 - Kiểm tra các liên kết mạng xã hội hoạt động chính xác","chromium","Wed May 27 09:27:49 UTC 2026","passed","Wed May 27 09:27:57 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","18105","OHRM_LOGIN_TC_001 - Đăng nhập thành công với Username và Password hợp lệ","webkit","Wed May 27 09:32:06 UTC 2026","passed","Wed May 27 09:32:24 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","3681","OHRM_LOGIN_TC_010 - Đăng nhập thất bại và bảo mật trước XSS Injection trên trường Username","chromium","Wed May 27 09:27:29 UTC 2026","passed","Wed May 27 09:27:32 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","4357","OHRM_LOGIN_TC_001 - Đăng nhập thành công với Username và Password hợp lệ","chromium","Wed May 27 09:26:57 UTC 2026","passed","Wed May 27 09:27:01 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","6430","OHRM_LOGIN_TC_008 - Xác thực trường Password ẩn ký tự khi người dùng nhập dữ liệu","firefox","Wed May 27 09:29:33 UTC 2026","passed","Wed May 27 09:29:40 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","5460","OHRM_LOGIN_TC_011 - Đăng nhập thất bại khi nhập Username chỉ chứa khoảng trắng","firefox","Wed May 27 09:29:58 UTC 2026","passed","Wed May 27 09:30:04 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","3788","OHRM_LOGIN_TC_016 - Gửi yêu cầu đặt lại mật khẩu thất bại khi bỏ trống trường Username","chromium","Wed May 27 09:26:45 UTC 2026","passed","Wed May 27 09:26:49 UTC 2026","OrangeHRM - Forgot Password Module Tests","auth/forgot-password.spec.ts","",""
"","14530","OHRM_LOGIN_TC_022 - Kiểm tra các liên kết mạng xã hội hoạt động chính xác","webkit","Wed May 27 09:34:09 UTC 2026","passed","Wed May 27 09:34:24 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
