"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8966","HRM_ADMIN_TC_002 - Tìm kiếm người dùng bằng Username không phân biệt hoa thường","chromium","2026-05-29","passed","2026-05-29","Admin - System Users Automation Suite > Admin - Search Users","","",""
"","8280","HRM_ADMIN_TC_005 - Tìm kiếm người dùng theo User Role là ESS","chromium","2026-05-29","passed","2026-05-29","Admin - System Users Automation Suite > Admin - Search Users","","",""
"","11114","HRM_ADMIN_TC_015 - Thêm mới - Validation trường Employee Name bắt buộc","chromium","2026-05-29","passed","2026-05-29","Admin - System Users Automation Suite > Admin - Add User","","",""
"","7112","OHRM_LOGIN_TC_018 - Gửi yêu cầu đặt lại mật khẩu với Username không tồn tại trong hệ thống","chromium","2026-05-29","passed","2026-05-29","OrangeHRM - Forgot Password Module Tests","","",""
"","9079","OHRM_LOGIN_TC_006 - Đăng nhập thất bại khi nhập Username sai nhưng Password đúng","chromium","2026-05-29","passed","2026-05-29","OrangeHRM - Login Module Tests","","",""
"","11169","HRM_ADMIN_TC_003 - Tìm kiếm người dùng bằng Username chứa một phần ký tự","chromium","2026-05-29","passed","2026-05-29","Admin - System Users Automation Suite > Admin - Search Users","","",""
"","19462","HRM_ADMIN_TC_027 - Mở form Edit User hiển thị đúng dữ liệu cũ và ẩn các trường mật khẩu mặc định","chromium","2026-05-29","passed","2026-05-29","Admin - System Users Automation Suite > Admin - Edit User","","",""
"","11100","HRM_ADMIN_TC_018 - Thêm mới - Validation trường Password bắt buộc","chromium","2026-05-29","passed","2026-05-29","Admin - System Users Automation Suite > Admin - Add User","","",""
"","5326","OHRM_LOGIN_TC_015 - Hủy bỏ yêu cầu đặt lại mật khẩu và quay lại trang Login","chromium","2026-05-29","passed","2026-05-29","OrangeHRM - Forgot Password Module Tests","","",""
"","25707","HRM_ADMIN_TC_026 - Chỉnh sửa thông tin cơ bản của người dùng thành công","chromium","2026-05-29","passed","2026-05-29","Admin - System Users Automation Suite > Admin - Edit User","","",""
"","12540","HRM_ADMIN_TC_019 - Thêm mới - Validation trường Confirm Password bắt buộc","chromium","2026-05-29","passed","2026-05-29","Admin - System Users Automation Suite > Admin - Add User","","",""
"","13836","HRM_ADMIN_TC_001 - Tìm kiếm người dùng bằng Username chính xác","chromium","2026-05-29","passed","2026-05-29","Admin - System Users Automation Suite > Admin - Search Users","","",""
"","24803","HRM_ADMIN_TC_028 - Chỉnh sửa thông tin người dùng - Chọn Change Password","chromium","2026-05-29","passed","2026-05-29","Admin - System Users Automation Suite > Admin - Edit User","","",""
"","8492","OHRM_LOGIN_TC_012 - Đăng nhập với Username có độ dài cực lớn (256 ký tự)","chromium","2026-05-29","passed","2026-05-29","OrangeHRM - Login Module Tests","","",""
"","18459","HRM_ADMIN_TC_031 - Hủy thao tác xóa tài khoản đơn lẻ","chromium","2026-05-29","passed","2026-05-29","Admin - System Users Automation Suite > Admin - Delete User","","",""
"","58553","OHRM_LOGIN_TC_017 - Gửi yêu cầu đặt lại mật khẩu thành công với Username hợp lệ (Admin)","chromium","2026-05-29","skipped","2026-05-29","OrangeHRM - Forgot Password Module Tests","","",""
